Name,Address,Stars,Reviews,Phone,Hours,Website,GoogleURL
Medico General," Calle Vicente Guerrero 6177",5.0,29,12223303855,Abierto ⋅ Cierra a las 9 p.m. ,,https://www.google.com/maps/place/Medico+General/data=!4m7!3m6!1s0x85cfc7538332cccb:0xb9542e0c50d1ccd2!8m2!3d19.01138!4d-98.2244742!16s%2Fg%2F11f4lbytnb!19sChIJy8wyg1PHz4UR0szRUAwuVLk?authuser=0&hl=es-419&rclk=1
"Dra Andrea Torres Jiménez, Internista y Bariatra Clínico"," Av. Kepler 2143-CONSULTORIO 960",5.0,1,222 241 9822,Abierto ⋅ Cierra a las 7 p.m. ,http://www.draandreatorres.com/,"https://www.google.com/maps/place/Dra+Andrea+Torres+Jim%C3%A9nez,+Internista+y+Bariatra+Cl%C3%ADnico/data=!4m7!3m6!1s0x85cfc716f2d6aa55:0x8fa81cec99cb565f!8m2!3d19.021297!4d-98.2347606!16s%2Fg%2F11h7c803np!19sChIJVarW8hbHz4URX1bLmewcqI8?authuser=0&hl=es-419&rclk=1"
Médicos Internistas en Puebla," Av. Kepler 2143, Hospital Ángeles Puebla torre medica de especialidad 1, tercer piso, consultorio 315",5.0,8,246 133 3385,Cierra pronto ⋅ 6 p.m. ⋅ Abre a las 9 a.m. del sáb ,https://medicosinternistasenpuebla.com/,https://www.google.com/maps/place/M%C3%A9dicos+Internistas+en+Puebla/data=!4m7!3m6!1s0x85cfc0ed8841aad5:0x777001ba0d21ce51!8m2!3d19.0209912!4d-98.2351484!16s%2Fg%2F12cnpk6c_!19sChIJ1apBiO3Az4URUc4hDboBcHc?authuser=0&hl=es-419&rclk=1
Dr. Miguel Cruz Gómez," C. del Trabajo 33",3.3,11,222 136 5709,Abierto las 24 horas ,,https://www.google.com/maps/place/Dr.+Miguel+Cruz+G%C3%B3mez/data=!4m7!3m6!1s0x85cfc74e8fa8f393:0x5294b1015ee3ee7!8m2!3d19.0201867!4d-98.2275196!16s%2Fg%2F1v27vvbv!19sChIJk_Ooj07Hz4UR5z7uFRBLKQU?authuser=0&hl=es-419&rclk=1
Consultorio Médico," Cúmulo de Virgo 34, Reserva Territorial Atlixcáyotl",0.0,0,,,,https://www.google.com/maps/place/Consultorio+M%C3%A9dico/data=!4m7!3m6!1s0x85cfc74377199e93:0x7aceac6953b5a1eb!8m2!3d19.0187462!4d-98.2385266!16s%2Fg%2F1ptyyj47w!19sChIJk54Zd0PHz4UR66G1U2mszno?authuser=0&hl=es-419&rclk=1
Blu Grupo Médico," Torre Inxignia, Atlixcáyotl 2210",5.0,14,222 422 9523,Abierto ⋅ Cierra a las 8 p.m. ,https://blumedical.com.mx/,https://www.google.com/maps/place/Blu+Grupo+M%C3%A9dico/data=!4m7!3m6!1s0x85cfc1d351fb0d1f:0xeced052b168ec441!8m2!3d19.0225021!4d-98.2448012!16s%2Fg%2F11vr0fxczn!19sChIJHw37UdPBz4URQcSOFisF7ew?authuser=0&hl=es-419&rclk=1
CONSULTORIO MÉDICO," C. 11 Sur 9904",4.5,8,800 911 6666,Abierto ⋅ Cierra a las 9 p.m. ,http://www.farmaciasdesimilares.com.mx/,https://www.google.com/maps/place/CONSULTORIO+M%C3%89DICO/data=!4m7!3m6!1s0x85cfb8a0bea07da1:0x72e45fa54d78e503!8m2!3d19.0032152!4d-98.238747!16s%2Fg%2F1pyqrv6z3!19sChIJoX2gvqC4z4URA-V4TaVf5HI?authuser=0&hl=es-419&rclk=1
"Dr. Jorge Garza Sánchez, Coloproctólogo"," Consultorio 1050, Hospital Angeles, Av. Kepler 2143-Torre 1 Piso 10",4.8,79,222 614 5829,Abierto ⋅ Cierra a las 6:30 p.m. ,https://www.doctorjorgegarza.com/,"https://www.google.com/maps/place/Dr.+Jorge+Garza+S%C3%A1nchez,+Coloproct%C3%B3logo/data=!4m7!3m6!1s0x85cfc745d1e4a105:0x957fee2cd54cdf4c!8m2!3d19.0212498!4d-98.234671!16s%2Fg%2F11bbrnkz_b!19sChIJBaHk0UXHz4URTN9M1Szuf5U?authuser=0&hl=es-419&rclk=1"
Daniel Arizpe Bravo," Av. Kepler 2143",4.5,13,222 235 6935,,https://www.topdoctors.mx/doctor/daniel-arizpe-bravo,https://www.google.com/maps/place/Daniel+Arizpe+Bravo/data=!4m7!3m6!1s0x85cfc021a993c68d:0x4c8f4f81d49ff157!8m2!3d19.0212348!4d-98.2347432!16s%2Fg%2F1tjjpq5_!19sChIJjcaTqSHAz4URV_Gf1IFPj0w?authuser=0&hl=es-419&rclk=1
Dr. Armando Sigala - Gastrocirugía-Cirugía Laparoscopica-Robotica," Hospital Ángeles de Puebla, Av. Kepler 2143-Torre 1, piso 9, consultorio 986",4.7,142,222 534 1363,Abierto ⋅ Cierra a las 8 p.m. ,https://www.gastrocirugiadrsigala.com/,https://www.google.com/maps/place/Dr.+Armando+Sigala+-+Gastrocirug%C3%ADa-Cirug%C3%ADa+Laparoscopica-Robotica/data=!4m7!3m6!1s0x85cfc745cdd00001:0xf186cc3e456256e9!8m2!3d19.0212498!4d-98.234671!16s%2Fg%2F11j4nb15nx!19sChIJAQDQzUXHz4UR6VZiRT7MhvE?authuser=0&hl=es-419&rclk=1
"Dr. Arturo Simont Zeron, Ginecólogo"," Av. Kepler 2143",4.9,105,220 171 7285,Abierto ⋅ Cierra a las 8:20 p.m. ,https://www.doctoralia.com.mx/arturo-simont-zeron/ginecologo-medico-general/puebla?utm_source=google&utm_medium=gmb&utm_campaign=42171&utm_content=website,"https://www.google.com/maps/place/Dr.+Arturo+Simont+Zeron,+Ginec%C3%B3logo/data=!4m7!3m6!1s0x85cfc7fd21b14519:0x96907624727abb1a!8m2!3d19.0213032!4d-98.2347336!16s%2Fg%2F11j00529m5!19sChIJGUWxIf3Hz4URGrt6ciR2kJY?authuser=0&hl=es-419&rclk=1"
Dr. Rubén Romero Méndez," Dirección: Av. Kepler 2143, Reserva Territorial Atlixcáyotl, 72190, Atlixcáyotl LT Desarrollo",5.0,105,222 306 7568,Abierto ⋅ Cierra a las 12 a.m. ,https://www.topdoctors.mx/doctor/ruben-romero-mendez,https://www.google.com/maps/place/Dr.+Rub%C3%A9n+Romero+M%C3%A9ndez/data=!4m7!3m6!1s0x85cfc7eccdbf1687:0xd2af1f5d859780cb!8m2!3d19.0222878!4d-98.2317264!16s%2Fg%2F11gxjtg_6c!19sChIJhxa_zezHz4URy4CXhV0fr9I?authuser=0&hl=es-419&rclk=1
