Name,Address,Stars,Reviews,Phone,Hours,Website,GoogleURL
4yourskin Angelópolis - Spa," Blvd. Kepler 5B-Local 2",4.9,16,,,,https://www.google.com/maps/place/4yourskin+Angel%C3%B3polis+-+Spa/data=!4m7!3m6!1s0x85cfc7a7ce964fdd:0xe7d97eed01f5b5f3!8m2!3d19.0252569!4d-98.2365584!16s%2Fg%2F11fjv_0hvq!19sChIJ3U-WzqfHz4UR87X1Ae1-2ec?authuser=0&hl=es-419&rclk=1
Kadma Spa," Priv. 11 A Sur 5331 72430",4.7,187,,,,https://www.google.com/maps/place/Kadma+Spa/data=!4m7!3m6!1s0x85cfbf611d1eb7c9:0xc46c2c060fe8b37!8m2!3d19.0240874!4d-98.2211352!16s%2Fg%2F1pwfyhr18!19sChIJybceHWG_z4URN4v-YMDCRgw?authuser=0&hl=es-419&rclk=1
Spa - Amba Wellness Center," Amba Wellness Center, C. 26 124",4.8,113,,,,https://www.google.com/maps/place/Spa+-+Amba+Wellness+Center/data=!4m7!3m6!1s0x85cfc7f699e27d6d:0x5ba30db6277b0a76!8m2!3d19.0353739!4d-98.23506!16s%2Fg%2F11q9s6rc0_!19sChIJbX3imfbHz4URdgp7J7YNo1s?authuser=0&hl=es-419&rclk=1
SPA Samare (Atención previa cita)," Av. Mercurio 751",5.0,65,,,,https://www.google.com/maps/place/SPA+Samare+%28Atenci%C3%B3n+previa+cita%29/data=!4m7!3m6!1s0x85cfc73e2d75c993:0xe66b78fd3be70ec3!8m2!3d19.0072384!4d-98.2434752!16s%2Fg%2F11swkwvy94!19sChIJk8l1LT7Hz4URww7nO_14a-Y?authuser=0&hl=es-419&rclk=1
Sana Hands Spa," Cto Juan Pablo II 1936-Local 2",4.6,123,,,,https://www.google.com/maps/place/Sana+Hands+Spa/data=!4m7!3m6!1s0x85cfc73378882a27:0x2570324a34f37963!8m2!3d19.0350445!4d-98.2240379!16s%2Fg%2F1ptw7yt4k!19sChIJJyqIeDPHz4URY3nzNEoycCU?authuser=0&hl=es-419&rclk=1
Be Spa Puebla," plaza el eden, local 20",4.5,65,,,,https://www.google.com/maps/place/Be+Spa+Puebla/data=!4m7!3m6!1s0x85cfc725cda04a91:0x3dcf8e1e6c735cf1!8m2!3d19.0276142!4d-98.2528015!16s%2Fg%2F11cfhz99s!19sChIJkUqgzSXHz4UR8VxzbB6Ozz0?authuser=0&hl=es-419&rclk=1
Vital Spa corporales y faciales- spa en puebla - estéticas en puebla," Av 55 Pte 1302",4.5,43,,,,https://www.google.com/maps/place/Vital+Spa+corporales+y+faciales-+spa+en+puebla+-+est%C3%A9ticas+en+puebla/data=!4m7!3m6!1s0x85cfc74b39f2434b:0xb3c5655d697c5e92!8m2!3d19.0245624!4d-98.222047!16s%2Fg%2F1ptyrxpz2!19sChIJS0PyOUvHz4URkl58aV1lxbM?authuser=0&hl=es-419&rclk=1
Reduce Nutrición & Wellness Spa Puebla," Vía Atlixcayotl, Plaza Kentro #3432",4.7,42,,,,https://www.google.com/maps/place/Reduce+Nutrici%C3%B3n+%26+Wellness+Spa+Puebla/data=!4m7!3m6!1s0x85cfc70b25463543:0xd8a99b3189b22932!8m2!3d19.0163464!4d-98.2540804!16s%2Fg%2F11sph7_7v0!19sChIJQzVGJQvHz4URMimyiTGbqdg?authuser=0&hl=es-419&rclk=1
Centro Internacional Spa Albada," Calle 21 Sur 4112",4.7,67,,,,https://www.google.com/maps/place/Centro+Internacional+Spa+Albada/data=!4m7!3m6!1s0x85cfb8c28eda3cd5:0x50df90e78867919a!8m2!3d19.0369494!4d-98.2223536!16s%2Fg%2F1tgn9yy2!19sChIJ1TzajsK4z4URmpFniOeQ31A?authuser=0&hl=es-419&rclk=1
AKVO SPA," Blvd. Municipio Libre 1959",5.0,3,,,,https://www.google.com/maps/place/AKVO+SPA/data=!4m7!3m6!1s0x85cfc7653c9c1635:0x26e3d3cc68dfe0c9!8m2!3d19.0107986!4d-98.245775!16s%2Fg%2F11s0shb4x1!19sChIJNRacPGXHz4URyeDfaMzT4yY?authuser=0&hl=es-419&rclk=1
SPA - Angelópolis City Spa en Puebla," C. 49 B Sur 5112",4.7,81,,,,https://www.google.com/maps/place/SPA+-+Angel%C3%B3polis+City+Spa+en+Puebla/data=!4m7!3m6!1s0x85cfb9e3fed49227:0x5c8812dc83861f28!8m2!3d19.040385!4d-98.2468803!16s%2Fg%2F11rts_tj8h!19sChIJJ5LU_uO5z4URKB-Gg9wSiFw?authuser=0&hl=es-419&rclk=1
